Filter	Req ID	fn	MET	long	lat	flux	flux err	fwhm	mag	max	skymean	skyerr	skysig	xcen	ycen	power side
Red	APMV_PC_COLOR_153_SCI1	mc0_0295514391_0x536_sci_9	2457175.6	18.019195	43.16572	195859	740.322	2.23424	10.7701	400.327	-1.02354	0.400118	0.398751	2505.76	427.968	1
Red	APMV_PC_COLOR_153_SCI3	mc0_0295574631_0x536_sci_9	2457176.3	338.72274	43.165548	202235	748.741	2.36572	10.7354	373.31	1.60976	0.503375	0.495286	2550.61	411.782	0
Red	APMV_PC_COLOR_154_SCI1	mc0_0295611591_0x536_sci_9	2457176.7	314.61237	43.165807	207302	751.615	2.32684	10.7085	397.725	1.25941	0.520755	0.523231	2488.68	431.805	0
Red	APMV_PC_COLOR_157_SCI1	mc0_0295859091_0x536_sci_9	2457179.6	153.14699	43.167642	221838	768.521	2.55872	10.6349	342.072	0.63307	0.484661	0.485154	2552.42	430.269	1
Red	APMV_PC_COLOR_159_SCI1	mc0_0296032491_0x536_sci_9	2457181.6	40.02578	43.163786	258187	839.747	2.4562	10.4702	426.796	0.109428	0.41444	0.974549	2516.61	424.938	1
Red	APMV_PC_COLOR_161_SCI1	mc0_0296204931_0x536_sci_9	2457183.6	287.53798	43.1639	299309	865.506	2.63262	10.3097	439.53	0.115406	0.411664	0.972711	2531.69	419.667	1
Red	APMV_PC_COLOR_163_SCI1	mc0_0296376951_0x536_sci_6	2457185.5	175.31294	43.165698	343246	896.971	2.67481	10.161	462.285	1.01931	0.643997	0.641335	2511.14	418.212	0
Red	APMV_PC_COLOR_167_SCI2	mc0_0296787411_0x536_sci_6	2457190.3	267.54918	43.161103	478388	1034.19	3.03784	9.80055	493.475	0.784836	0.702733	0.707878	2531.74	415.085	0
Red	APMV_PC_COLOR_168_SCI1	mc0_0296826411_0x536_sci_6	2457190.7	242.1065	43.161907	501909	1050.08	3.05967	9.74844	507.746	-0.264333	0.473573	0.990944	2497.94	402.841	1
Red	APMV_PC_COLOR_169_SCI2	mc0_0296962191_0x536_sci_9	2457192.3	153.52185	43.161989	523123	1043.66	3.25605	9.70349	535.791	1.1245	0.475418	0.47555	2502.34	419.399	0
Red	APMV_PC_COLOR_170_SCI1	mc0_0297006951_0x536_sci_9	2457192.8	124.32009	43.160705	512335	1079.44	3.11848	9.72611	499.895	0.213029	0.862771	0.863524	2542.8	428.236	1
Red	APMV_PC_COLOR_171_SCI1	mc0_0297067911_0x536_sci_6	2457193.5	84.551262	43.158299	554994	1092.86	3.13248	9.63928	563.508	1.03926	0.722656	0.721071	2560.1	419.001	0
Red	APMV_PC_COLOR_172_SCI1	mc0_0297172071_0x536_sci_3	2457194.7	16.60579	43.154713	639689	1155.12	3.38869	9.48508	537.293	0.0994707	0.969447	0.969018	2519.95	422.253	1
Red	APMV_PC_COLOR_173_SCI1	mc0_0297239151_0x536_sci_9	2457195.5	332.85029	43.154172	697518	1183.99	3.55732	9.39111	537.511	0.850115	0.629585	0.632873	2536.76	422.21	0
Red	APMV_PC_COLOR_174_SCI1	mc0_0297334971_0x536_sci_6	2457196.6	270.34522	43.155873	789504	1288.6	3.6515	9.25661	546.52	-0.128332	0.458517	0.996109	2493.14	407.943	1
Red	PEMV_01_PC_VISUV_MAP_B	_6 mc0_0297687041_0x536_sci_27	2457200.7	40.661818	43.147404	1.11E+06	1485.75	4.32239	8.8846	6       571.08	3       1.8580	3      0.395331	0.393493	2550.3	1       399.194	1
Red	PEMV_01_PC_VISUV_MAP_B	_9 mc0_0297789521_0x536_sci_27	2457201.9	333.81875	43.14465	1.32E+06	1608.48	4.64577	8.6967	6       565.84	1     0.088386	0      0.524273	0.521162	2543	1       435.816	0
Red	PEMV_01_PC_VISUV_MAP_B	_12 mc0_0297857621_0x536_sci_9	2457202.7	289.39928	43.145571	1.49E+06	1697.44	4.8878	8.5682	4       589.15	1     -0.72396	7      0.495112	0.486197	2570.3	8       438.526	1
Red	PEMV_01_PC_VISUV_MAP_B	_19 mc0_0298077102_0x536_sci_9	2457205.2	146.21056	43.145246	2.04E+06	1987.43	5.42445	8.2278	0       637.79	1      0.40857	7      0.950770	0.951655	2515	6       405.954	1
Red	PEMV_01_PC_Multi_Map_A	_3 mc0_0298165232_0x536_sci_9	2457206.2	88.716483	43.137208	2.35E+06	2086.48	5.81729	8.07242	645.392	1.36956	0.532793	0.586786	2568.2	400.903	0
